id,description
1,all defendants
10,white defendants
11,African American defendants
12,Hispanic / Latino defendants
13,Native American or Alaskan defendants
14,Asian or Pacific Islander defendants
15,defendants of color
16,defendants of unknown race / ethnicity
20,male defendants
21,female defendants
22,defendants of unknown sex
30,non-indigent defendants
31,indigent defendants
32,defendants of unknown indigent status
40,defendants under age 18
41,defendants age 18 to 25
42,defendants age 26 to 35
43,defendants age 36 to 45
44,defendants age 46 to 65
45,defendants over age 65
46,defendants of unknown age group
50,defendants who self-represented
51,defendants represented by private attorney
52,defendants represented by public defender
53,defendants represented by a court-appointed private attorney
54,defendants represented by other attorney type
55,defendants represented by an attorney of unknown type
60,defendants with no drug charges
61,defendants with drug paraphernalia related charges
62,defendants with other/unspecified drug offense charges
63,defendants with possession/use of unspecified drug charges
64,defendants with marijuana possession/use charges
65,defendants with other drug possession/use charges
66,defendants with other prescription drug possession/use charges
67,defendants with opioid drug possession/use charges
7100,defendants charged with a violent offense
7101,defendants charged with a property offense
7102,defendants charged with a drug offense
7103,defendants charged with a DUI offense
7104,defendants charged with public order offense
7105,defendants charged with a criminal traffic offense
7106,defendants charged with other offense
7199,defendants charged with an offense of unknown
7200,defendants charged with a nonviolent misdemeanor
7201,defendants charged with a violent misdemeanor
7202,defendants charged with a nonviolent felony
7203,defendants charged with a violent felony
7299,defendants charged with an offense of unknown severity
8100,defendants charged with a violent offense
8101,defendants charged with a property offense
8102,defendants charged with a drug offense
8103,defendants charged with a DUI offense
8104,defendants charged with a public order offense
8105,defendants charged with a criminal traffic offense
8106,defendants charged with other offense
8199,defendants charged with an offense of unknown
8200,defendants charged with a nonviolent misdemeanor
8201,defendants charged with a violent misdemeanor
8202,defendants charged with a nonviolent felony
8203,defendants charged with a violent felony
8299,defendants charged with an offense of unknown severity
9100,defendants charged with a violent offense
9101,defendants charged with a property offense
9102,defendants charged with a drug offense
9103,defendants charged with DUI offense
9104,defendants charged with a public order offense
9105,defendants charged with a criminal traffic offense
9106,defendants charged with other offense
9199,defendants charged with an offense of unknown
9200,defendants charged with a nonviolent misdemeanor
9201,defendants charged with a violent misdemeanor
9202,defendants charged with a nonviolent felony
9203,defendants charged with a violent felony
9299,defendants charged with an offense of unknown severity
71000,defendants charged with an ordinance / infraction
71001,defendants charged with an unclassified misdemeanor
71002,defendants charged with a class 2 misdemeanor
71003,defendants charged with a class 1 misdemeanor
71004,defendants charged with an unclassified felony
71005,defendants charged with a class 3 felony
71006,defendants charged with a class 2 felony
71007,defendants charged with a class 1 felony
71008,defendants charged with a life felony
71009,defendants charged with a capital felony
71099,defendants charged with an offense of unknown severity
71100,defendants charged with an  infraction
71101,defendants charged with an unclassified misdemeanor
71102,defendants charged with a class 3 misdemeanor
71103,defendants charged with a traffic misdemeanor
